#separator:tab
#html:false
{[吸|す][って=う];Y0}{[吐|は]く;Y1}	そう　{[煙|けむり];0}を{[吸|す][って=う];Y0}{[吐|は]く;Y1}{[僕|ぼく];1,0}を{あなた;2}は{[見|み][て=る];Y1}いたよね{[悲|かな]し[そう=い];Y0}な{[顔|かお];0}で{[僕|ぼく];1,0}を{[見|み][て=る];Y1}{そんな;0}{[僕|ぼく];1,0}に{[君|きみ];0}は({[僕|ぼく];1,0}は{[君|きみ];0}に){[満|み]た[されて=す];Y2}2:07 {[/|ばつ];0} 6:10		吸って吐く to breathe in and breathe out  満たす füllen, erfüllen, ergänzen			2023-02-09 Samurai Champloo	吸って吐く
{[芽生|めば]える;Y3,2}	{[花|はな];2}はまた{[芽生|めば]え[て=る];Y3,2}{[誰|だれ];1}かを{[探|さが]す;Y0}んだ1:31 {[/|ばつ];0} 7:03		sprießen, austreiben, knospen			2023-02-09 Samurai Champloo	芽生える
{[枯|か]れ[葉|は];0}	{[枯|か]れ[葉|は];0}に{な[って=る];Y0}{しま[った=う];Y0}{[私|わたし];0}は{[空|そら];1}へ1:37 {[/|ばつ];0} 7:03		welkes Blatt, vertrocknetes Blatt, Herbstlaub			2023-02-09 Samurai Champloo	枯れ葉
{[監督|かんとく];0}	{[目|め];1}を{[閉|と]じ[て=る];Y2}{[描|えが]く;Y2}よ　{[夢|ゆめ];2}で{[映画|えいが];1,0}を{[監督|かんとく];0}は{[私|わたし];0}1:57 {[/|ばつ];0} 7:03		Aufseher,     Kontrolleur,     Leiter,      Regie,     Regisseur			2023-02-09 Samurai Champloo	監督
{[納得|なっとく];0}が{[行|い]く;Y0}	{このまま;!4}{[何処|どこ];1}か{[遠|とお]く;!3}の{[方|ほう];1}へ{[納得|なっとく];0}が{[行|い]く;Y0}{[日|ひ];!1}まで2:56 {[/|ばつ];0} 7:03		akzeptieren können,     zustimmen können,  to understand and accept as valid (of a thought, action, etc.),     to be satisfied with			2023-02-09 Samurai Champloo	納得が行く
{[寝|ね]そべる;Y3}	{[夜|よる];1}は{[冷|ひ]え[=る];Y2}　{[寝|ね]そべ[り=る];Y3}　{[星|ほし];0}を{[見|み][て=る];Y1}た3:15 {[/|ばつ];0} 7:03		ausgestreckt liegen			2023-02-09 Samurai Champloo	寝そべる
{[温|ぬく]もり;0,4}	{あなた;2}の{[温|ぬく]もり;0,4}に{つられ[=る];Y0}{[眠|ねむ]る;Y0}{[夜|よる];1}は		温もり Wärme  つられる angelockt werden			2023-02-09 Samurai Champloo	温もり
{[歩|ある]け[ねえ=る];Y3}んじゃ...	{[歩|ある]け[ねえ=る];Y3}んじゃなかったのかよ			Meinte sie nicht, sie kann nicht mehr laufen?		Expression	
{[奪|うば]う;Y2}	{[有|あ]り[金|がね];0}{[全部|ぜんぶ];1}{[奪|うば][え=う];Y2}		wegnehmen			2023-09-04 Samurai Champloo	奪う
{[何|なに];!0}なら	なんなら{このまま;!4}{[地獄|じごく];3}へ{[送|おく][って=る];Y0}{や[ろう=る];Y0}か？		wenn es recht ist  wenn Sie mögen  wenn es notwendig ist	Wenn du willst kann ich dich auch hier auf der Stelle in die Hölle schicken		2023-09-04 Samurai Champloo	何なら
{[怖気|おじけ]づく;Y4}	{どうし;!0}た{おじけづ[いた=く];Y4}か？		eingeschüchtert werden beängstigt werden	Was ist los? Hast du etwa Schiss?		2023-09-04 Samurai Champloo	怖気づく
{[組|く]む;Y1}	{[俺|おれ];0}は{[誰|だれ];1}とも{[組|く][まねえ=む];Y1}		verschränken     kreuzen      zusammensetzen     zusammenbinden	Ich tu mich mit niemandem zusammen		2023-09-04 Samurai Champloo	組む
{[罪人|ざいにん];0,3}	{[罪人|ざいにん];0,3}たちが{[島流|しまなが]し;3}に{される;Y0}{[島|しま];2}		Verbrecher	Eine Insel auf die man Gauner verbannt		2023-09-04 Samurai Champloo	罪人
{[沈|しず]む;Y0}	{[船|ふね];1}か {[無理|むり];1}{[無理|むり];1} {[船|ふね];1}なんて{[沈|しず][んで=む];Y0}{[死|し][ん=ぬ];Y0}じゃ[うわ|うえ]よ		untergehen, versinken			2023-09-04 Samurai Champloo	沈む
（{[役人|やくにん];0}）{[何|なに];!0}か{[言|い]い[残|のこ][したい=す];Y4}…	（{[役人|やくにん];0}）{[何|なに];!0}か{[言|い]い[残|のこ][したい=す];Y4}ことはあるか？ {さっさと;1}{や[れ=る];Y0}よ ほう…		さっさ schnell, eilig	Hast du noch irgendwelche letzten Worte? Macht hinne! Hmm?		Expression	
{[構|かま]う;Y2}	（{ムゲン;0}）{[地獄|じごく];3}に{[落|お]ち[=る];Y2}ようが{かま[いやし=う];Y2}ねえ		sich kümmern  やしない (usu. used after -masu stem of verb) emphatic negative (verb), same as はしない			2023-09-04 Samurai Champloo	構う
{どうせ;0}	{どうせ;0}{[生|い]き[て=る];Y2}{た[って=つ];Y1}{[地獄|じごく];3}{み[て=る];Y1}えな{も[んだ=む];Y0}		sowieso			2023-09-04 Samurai Champloo	どうせ
{[手|て];1}を{[貸|か]す;Y0}	{[俺|おれ];0}が{[勝|か][ったら=つ];Y1}{[手|て];1}を{[貸|か][せ=す];Y0}		helfen			2023-09-04 Samurai Champloo	手を貸す
{あいつ;0}の{[挑発|ちょうはつ];0}に{まんまと;1,3}...	{あいつ;0}の{[挑発|ちょうはつ];0}に{まんまと;1,3}{[乗|の]せ[られた=る];Y0}か		挑発 Herausforderung, Provokation, Taunt まんまと erfolgreich 乗せられた wurde an Bord genommen, wurde getäuscht			Expression	
{[満|み]たす;Y2}	{ダイヤ;1,0}　{ルビー;1}　{サファイア;2} キャツツアイ　{アレキサンドライト;7} {[手|て];1}にしたって{[心|こころ];2,3}の{[奥|おく];1}の{[方|ほう];1}{[なんか|なにか];!1} {[満|み]た[されない=す];Y2}わ		füllen,    erfüllen,    ergänzen,     befriedigen			2023-09-05 Zombie-Chang	満たす
{[警備|けいび];1}	{[夜中|よなか];1,0}の3[時|じ] {[警備|けいび];1}は{[甘|あま]い;Y0}よ {[今度|こんど];1}こそ {もっと;1}{[行|い][った=く];Y0} {[大事|だいじ];!1,3}な{[宝物|ほうもつ];0}を{[盗|ぬす][んで=む];Y2} {[迎|むか]え[撃|う]つ;Y4}よ {わたし;0}の{[心|こころ];2,3}に		beschützen, Wache, Bewachung			2023-09-05 Zombie-Chang	警備
{[立|た]ち[尽|つ]くす;Y4,0}	いざモナリザ [目|め]の{[前|まえ];1}にしたなら なぜだか {[涙|なみだ];1}が{あふれ[て=る];Y3} {[止|と]ま[らず=る];Y0} {[立|た]ち[尽|つ]く[した=す];Y4,0}よ		(vor Erstaunen) still stehen	Let's go Mona Lisa. Als sie vor meinen Augen war... Warum auch immer, mir liefen die Tränen ununterbrochen und ich war vor Erstaunen, wie festgefroren. so mäßig		2023-09-05 Zombie-Chang	立ち尽くす
{[見透|みす]かす;Y0,3}	{[明日|あした];!0}までに{や[らなきゃ=る];Y0}{いけ[ない=る];Y2}ことがある {[明日|あした];!0}までに{[言|い][わなきゃ=う];Y0}{いけ[ない=る];Y2}ことがある 何[度|ど]も{[繰|く]り[返|かえ][して=す];Y3,0}{[きた=くる];Y1}けど これまで {[太陽|たいよう];1}は{[見透|みす]か[して=す];Y0,3}いるだろう {[全|すべ]て;1}		durchschauen, durch etw. hindurchsehen			2023-09-05 Zombie-Chang	見透かす
{[誤魔化|ごまか]す;Y3}	これまでに{[嘘|うそ];1}を{つ[いて=く];Y1}きたこと{[全部|ぜんぶ];1} {[知|し][らない=る];Y0}うちに{[忘|わす]れ[=る];Y0}{たれ[たら=る];Y2}{いい;Y1}な 何[度|ど]も{[誤魔化|ごまか][して=す];Y3}{[来|き]た;Y1|くる}けど これまで {[魔女|まじょ];1}は{[見透|みす]か[して=す];Y0,3}いるだろう {[全|すべ]て;1}		betrügen			2023-09-05 Zombie-Chang	誤魔化す
